Wall time,Step,Value
1737974289.8014069,12100,0.03844507038593292
1737985801.48737,24201,0.06964322179555893
1737997516.151521,36302,0.0721101313829422
1738009358.350432,48403,0.07643099129199982
1738020953.348779,60504,0.08247751742601395
1738032461.856972,72605,0.08731698244810104
1738043964.7305999,84706,0.08749514818191528
1738055521.5069299,96807,0.09491390734910965
1738067024.5983229,108908,0.09740185737609863
1738078546.055758,121009,0.09072756767272949
1738090346.068102,133110,0.09791406989097595
1738102707.525453,145211,0.09975360333919525
1738114358.300683,157312,0.09648528695106506
1738125870.0670369,169413,0.09779549390077591
1738137478.5879428,181514,0.10708936303853989
