Wall time,Step,Value
1737921836.569908,49,59.994197845458984
1737921875.189622,99,42.585548400878906
1737921913.592866,149,36.686767578125
1737921951.774494,199,33.281185150146484
1737921989.9884531,249,31.85946273803711
1737922028.0821939,299,28.841182708740234
1737922065.921073,349,28.104114532470703
1737922103.9592059,399,24.867855072021484
1737922142.165757,449,24.98871421813965
1737922181.13936,499,22.664138793945312
1737922219.077611,549,23.23920440673828
1737922257.71083,599,19.684167861938477
1737922296.814264,649,17.378215789794922
1737922334.3226602,699,16.580684661865234
1737922372.395821,749,15.246660232543945
1737922410.712964,799,12.954011917114258
1737922449.3018901,849,13.551023483276367
1737922487.8143349,899,12.147189140319824
1737922525.722225,949,10.581327438354492
1737922563.991754,999,9.921870231628418
1737922602.3370728,1049,10.208666801452637
1737922640.176453,1099,10.122456550598145
1737922678.140059,1149,9.160758018493652
1737922715.8182411,1199,8.412342071533203
1737922754.012444,1249,8.224464416503906
1737922791.941122,1299,8.186538696289062
1737922829.873541,1349,8.036535263061523
1737922867.7518342,1399,8.054636001586914
1737922905.806458,1449,7.347158432006836
1737922943.743735,1499,6.914583206176758
1737922981.631833,1549,7.333971977233887
1737923019.757298,1599,6.657310485839844
1737923058.03012,1649,6.5988569259643555
1737923096.109678,1699,6.688758373260498
1737923134.149645,1749,6.363451957702637
1737923172.239378,1799,6.617978572845459
1737923210.0503528,1849,6.600543975830078
1737923248.1295629,1899,6.5927348136901855
1737923286.200958,1949,6.47672700881958
1737923324.28235,1999,6.789971351623535
1737923362.77012,2049,7.083953857421875
1737923400.990479,2099,6.2427754402160645
1737923438.620681,2149,6.099865913391113
1737923476.3053598,2199,6.452406406402588
1737923513.984394,2249,6.722295761108398
1737923551.811855,2299,6.228553295135498
1737923589.56466,2349,6.23056173324585
1737923627.272222,2399,6.246129989624023
1737923665.050302,2449,6.180962562561035
1737923703.4234712,2499,6.529888153076172
1737923741.295441,2549,6.23398494720459
1737923779.216661,2599,6.1563496589660645
1737923817.206984,2649,6.1157402992248535
1737923855.277698,2699,6.447657108306885
1737923892.866647,2749,5.810970783233643
1737923930.627111,2799,6.461299896240234
1737923968.730444,2849,6.066915512084961
1737924006.7622862,2899,6.36257266998291
1737924044.742639,2949,5.908658504486084
1737924083.1491609,2999,6.423505783081055
1737924163.4918458,3049,5.95384407043457
1737924201.924758,3099,6.292520046234131
1737924239.785988,3149,6.613362789154053
1737924277.798489,3199,6.346895217895508
1737924316.0356648,3249,6.330405235290527
1737924354.2361338,3299,6.377711772918701
1737924392.289814,3349,6.030988693237305
1737924430.133756,3399,6.098550796508789
1737924468.0610502,3449,6.191273212432861
1737924506.1785338,3499,6.264152526855469
1737924544.315506,3549,6.10349702835083
1737924582.132585,3599,6.565595626831055
1737924619.931181,3649,6.378578186035156
1737924657.9517262,3699,6.365474700927734
1737924695.777245,3749,6.526528835296631
1737924733.7243679,3799,5.8901472091674805
1737924771.433342,3849,6.4144463539123535
1737924809.2275891,3899,6.180821418762207
1737924846.888468,3949,6.396934509277344
1737924884.610017,3999,6.250305652618408
1737924922.1846058,4049,6.25685453414917
1737924959.9740732,4099,6.639303207397461
1737924997.650531,4149,6.145527362823486
1737925035.767817,4199,6.328817367553711
1737925073.905937,4249,6.304798603057861
1737925112.1328268,4299,6.363550186157227
1737925150.796598,4349,5.990564346313477
1737925189.081834,4399,6.576268672943115
1737925227.531905,4449,6.313502311706543
1737925265.4414709,4499,6.1285810470581055
1737925303.791594,4549,5.914210319519043
1737925341.905199,4599,6.3812713623046875
1737925379.542515,4649,6.196095943450928
1737925417.3701482,4699,6.181580543518066
1737925455.249386,4749,6.43109130859375
1737925493.239871,4799,6.719150543212891
1737925530.855009,4849,7.057003498077393
1737925568.396608,4899,6.301926136016846
1737925605.98105,4949,6.418272018432617
1737925643.5178208,4999,6.568596839904785
1737925681.078325,5049,6.4492645263671875
1737925718.5825741,5099,6.4523491859436035
1737925756.259922,5149,6.445905685424805
1737925793.775764,5199,6.324277877807617
1737925831.428352,5249,6.3120856285095215
1737925869.5822232,5299,5.99261474609375
1737925907.66541,5349,6.357986927032471
1737925945.6980538,5399,6.733713150024414
1737925983.603966,5449,6.49529504776001
1737926021.428075,5499,6.4908528327941895
1737926059.52263,5549,6.434200763702393
1737926097.117651,5599,6.639665603637695
1737926134.871177,5649,6.445102214813232
1737926172.670521,5699,6.426802635192871
1737926210.294035,5749,6.226818084716797
1737926247.8403149,5799,5.895524501800537
1737926285.363567,5849,6.4271440505981445
1737926322.9944031,5899,6.538212776184082
1737926360.6404312,5949,6.727585315704346
1737926398.1381068,5999,6.462700366973877
1737926435.667557,6049,6.464939594268799
1737926515.748688,6099,5.980201721191406
1737926553.5615518,6149,6.128147602081299
1737926591.571033,6199,6.75732946395874
1737926629.480009,6249,7.011000156402588
1737926667.514478,6299,6.381674766540527
1737926705.32001,6349,6.280518054962158
1737926743.472141,6399,6.470837116241455
1737926781.140161,6449,6.684579849243164
1737926818.9388428,6499,6.451694965362549
1737926857.003298,6549,6.767097473144531
1737926894.8724952,6599,6.449193954467773
1737926932.6403131,6649,6.89540958404541
1737926970.798827,6699,6.417199611663818
1737927008.400213,6749,6.369396209716797
1737927046.2023401,6799,6.092994689941406
1737927083.891883,6849,6.596502304077148
1737927121.854625,6899,6.144218444824219
1737927159.614109,6949,6.385808944702148
1737927197.3065758,6999,6.415816307067871
1737927235.505867,7049,6.35983943939209
1737927273.2429419,7099,6.4622392654418945
1737927311.089525,7149,6.720472812652588
1737927348.83466,7199,6.582535743713379
1737927386.576343,7249,6.828195095062256
1737927424.575479,7299,6.723682403564453
1737927462.430903,7349,6.565221786499023
1737927500.013317,7399,6.618452548980713
1737927537.927441,7449,6.746251583099365
1737927575.848605,7499,6.621684551239014
1737927613.867174,7549,6.4959025382995605
1737927651.7859042,7599,6.548452377319336
1737927689.5354528,7649,6.616980075836182
